"millis,stamp,datetime,motion,,,,"
"225999,1343096889, 2012/7/24 2:28:9, Active,41114,0.102881944,0.040381944,7/24/2012 0:58"
"226999,1343096890, 2012/7/24 2:28:10, Active,41114,0.102893519,0.040393519,7/24/2012 0:58"
"227998,1343096891, 2012/7/24 2:28:11, Active,41114,0.102905093,0.040405093,7/24/2012 0:58"
"228998,1343096892, 2012/7/24 2:28:12, Active,41114,0.102916667,0.040416667,7/24/2012 0:58"
"229999,1343096893, 2012/7/24 2:28:13, Active,41114,0.102928241,0.040428241,7/24/2012 0:58"
"231000,1343096894, 2012/7/24 2:28:14, Active,41114,0.102939815,0.040439815,7/24/2012 0:58"
"231999,1343096895, 2012/7/24 2:28:15, Active,41114,0.102951389,0.040451389,7/24/2012 0:58"
"232999,1343096896, 2012/7/24 2:28:16, Active,41114,0.102962963,0.040462963,7/24/2012 0:58"
"233999,1343096897, 2012/7/24 2:28:17, Active,41114,0.102974537,0.040474537,7/24/2012 0:58"
"234999,1343096898, 2012/7/24 2:28:18, Active,41114,0.102986111,0.040486111,7/24/2012 0:58"
"235999,1343096899, 2012/7/24 2:28:19, Active,41114,0.102997685,0.040497685,7/24/2012 0:58"
"236999,1343096900, 2012/7/24 2:28:20, Active,41114,0.103009259,0.040509259,7/24/2012 0:58"
"237999,1343096901, 2012/7/24 2:28:21, Active,41114,0.103020833,0.040520833,7/24/2012 0:58"
"238999,1343096902, 2012/7/24 2:28:22, Active,41114,0.103032407,0.040532407,7/24/2012 0:58"
"240000,1343096903, 2012/7/24 2:28:23, Active,41114,0.103043981,0.040543981,7/24/2012 0:58"
"240999,1343096904, 2012/7/24 2:28:24, Active,41114,0.103055556,0.040555556,7/24/2012 0:58"
"241999,1343096905, 2012/7/24 2:28:25, Active,41114,0.10306713,0.04056713,7/24/2012 0:58"
"242998,1343096906, 2012/7/24 2:28:26, Active,41114,0.103078704,0.040578704,7/24/2012 0:58"
"243998,1343096907, 2012/7/24 2:28:27, Active,41114,0.103090278,0.040590278,7/24/2012 0:58"
"244999,1343096908, 2012/7/24 2:28:28, Active,41114,0.103101852,0.040601852,7/24/2012 0:58"
"245999,1343096909, 2012/7/24 2:28:29, Active,41114,0.103113426,0.040613426,7/24/2012 0:58"
"247000,1343096910, 2012/7/24 2:28:30, Active,41114,0.103125,0.040625,7/24/2012 0:58"
"247999,1343096911, 2012/7/24 2:28:31, Active,41114,0.103136574,0.040636574,7/24/2012 0:58"
"248999,1343096912, 2012/7/24 2:28:32, Active,41114,0.103148148,0.040648148,7/24/2012 0:58"
"249999,1343096913, 2012/7/24 2:28:33, Active,41114,0.103159722,0.040659722,7/24/2012 0:58"
"250999,1343096914, 2012/7/24 2:28:34, Active,41114,0.103171296,0.040671296,7/24/2012 0:58"
"251999,1343096915, 2012/7/24 2:28:35, Active,41114,0.10318287,0.04068287,7/24/2012 0:58"
"252999,1343096916, 2012/7/24 2:28:36, Active,41114,0.103194444,0.040694444,7/24/2012 0:58"
"253999,1343096917, 2012/7/24 2:28:37, Active,41114,0.103206019,0.040706019,7/24/2012 0:58"
"254999,1343096918, 2012/7/24 2:28:38, Active,41114,0.103217593,0.040717593,7/24/2012 0:58"
"256000,1343096919, 2012/7/24 2:28:39, Active,41114,0.103229167,0.040729167,7/24/2012 0:58"
